תאריך,סכום,קטגוריה,תת-קטגוריה,תיאור,סוג,משויך לחודש,קטגוריות,סוג חיוב
4/10/2025 12:00am,₪10.00,הוצאות משתנות,מתנות,סיכת לב ליובי מדפסת תלת מימד,הוצאה,October,,ויזה 6346
2/10/2025 12:00am,₪180.00,הוצאות משתנות,מתנות,תרומה עמותת לתת,הוצאה,October,,כאל 6660
10/10/2025 12:00am,₪17.90,הוצאות משתנות,אחר,דמי כרטיס,הוצאה,October,,כאל 6660
16/10/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,מנוי חיפה,הוצאה,November,,ויזה 6346
16/10/2025 12:00am,₪120.00,הוצאות משתנות,תספורת,אני ותומר,הוצאה,November,,ויזה 6346
18/10/2025 12:00am,₪124.25,הוצאות משתנות,מתנות,תרומה רום ברסלבסקי,הוצאה,November,,ויזה 6346
24/10/2025 12:00am,₪120.00,הוצאות משתנות,מתנות,פרחים ליובי,הוצאה,November,,ויזה 6346
28/10/2025 12:00am,₪238.00,הוצאות משתנות,מתנות,הספר הכחול לי וליובי,הוצאה,November,,ויזה 6346
29/10/2025 12:00am,₪30.00,הוצאות משתנות,אחר,לוטו,הוצאה,November,,ויזה 6346
26/10/2025 1:00am,₪24.00,הוצאות משתנות,אחר,לוטו,הוצאה,November,,ויזה 6346
30/10/2025 12:00am,₪287.00,הוצאות משתנות,אחר,משתלה עציצים למשרד,הוצאה,November,,ויזה 6346
30/10/2025 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,November,,ויזה 6346
2/11/2025 12:00am,₪407.00,הוצאות משתנות,מתנות,מתנה יום הולדת לאבא | שובר ספא,הוצאה,November,,ויזה 6346
7/11/2025 12:00am,₪60.00,הוצאות משתנות,תספורת,,הוצאה,November,,ויזה 6346
